,capital_prestado,plazo_meses,edad_cliente,salario_cliente,total_otros_prestamos,cuota_pactada,puntaje,puntaje_datacredito,cant_creditosvigentes,huella_consulta,saldo_mora,saldo_total,saldo_principal,saldo_mora_codeudor,creditos_sectorFinanciero,creditos_sectorCooperativo,creditos_sectorReal,promedio_ingresos_datacredito,Pago_atiempo,anio_prestamo,mes_prestamo,dia_semana_prestamo,hora_prestamo,relacion_cuota_salario,relacion_deuda_salario,saldo_pendiente_estimado
saldo_mora,0.028084730485596267,0.01988084978133154,-0.000791858342630175,0.003962334281402052,0.005807567571222661,0.004707000760337393,-0.020893330512380612,-0.192569302210911,0.009220581647790702,-0.014460464073590586,1.0,0.002113144957506223,0.005365598645312724,0.11068970480765483,0.008971726064118989,0.0007805182145056348,0.0032709832196863887,-0.004042630134405798,-0.07345797429808769,-0.01749710672393099,0.006337693889657188,-0.01402110756460351,-0.025585455116359398,-0.0012296236069145338,-0.0005387344436355008,-0.002641429202218707
saldo_total,0.13674919130451998,-0.03367696274971872,0.05489715099986202,0.004786392082424018,0.08275370314278867,0.14852162569422067,0.01182009877877246,0.07356895774820445,0.40210533995759407,0.13994653459316345,0.002113144957506223,1.0,0.7346641235785446,-0.0033056687604141708,0.45195723654630937,0.09031643635399589,0.06750770767697883,0.21422296147745462,0.014363689215621674,0.01378010104420541,-0.0076252589844482185,0.013727167032460182,-0.016485988260972386,-0.004857867602813004,0.003083194256653045,0.7509198613656065
saldo_principal,0.17644783047684348,-0.04868417922770359,0.08360484500682284,0.007192184269107457,0.1102069588216646,0.20058735050439722,0.011037919454808911,0.08282175705321594,0.4859529798931864,0.17100560203762066,0.005365598645312724,0.7346641235785446,1.0,-0.006624418056838908,0.5373072253927451,0.08736862102529842,0.08147767029663452,0.2877292785640935,0.011473249937057645,0.018478409871705223,-0.002083337002957594,0.009576123333981548,-0.032735217403673494,-0.005075963480503648,0.00583518150226888,0.10364256682381742
saldo_mora_codeudor,-0.005356471287244466,-0.0012301077473991508,0.018900463697004592,-0.0001199872758696963,-0.0012182986385170405,-0.006074864663329251,0.0027645692733958447,0.0014592709262903258,-0.012677041128122478,-0.016527776162653295,0.11068970480765483,-0.0033056687604141708,-0.006624418056838908,1.0,-0.012414537785045716,-0.0017536514918593202,-0.0006621774997013106,0.014549159316430369,0.0026312443877701637,-0.029132276910709725,0.021996023630970942,-0.0055897529893984745,-0.01800393859897691,-0.0005188898037027096,-0.00038552391457544264,0.0015659945968034765
creditos_sectorFinanciero,0.10909163798588092,-0.002217285348402964,0.11309372773784161,-0.024309553523623403,-0.0319491463234674,0.11309305659062735,0.018488337308962408,0.14513394699123625,0.7912534017357024,0.2539362305231874,0.008971726064118989,0.45195723654630937,0.5373072253927451,-0.012414537785045716,1.0,-0.016469940500298163,0.06747641907974238,0.22457612553746978,0.021390468493718943,0.04149918039469038,-0.0407732784675508,0.01285106027604244,-0.019976890363031335,-0.0019501680189935174,0.003046960191337096,0.13376160022755035
creditos_sectorCooperativo,-0.016758228474287692,0.032823264379370214,0.0345809333997898,-0.013263651261338582,-0.014443697587813886,-0.030780278005146874,0.02551078046593111,0.03323820947981116,0.1975938731766309,0.02480919984778422,0.0007805182145056348,0.09031643635399589,0.08736862102529842,-0.0017536514918593202,-0.016469940500298163,1.0,0.06312030489178459,0.003133610332315072,0.021267467525200177,-0.009020022506068941,0.03893529273611009,0.017746755958197347,-0.004651059823698879,-0.0027591941945282407,-0.002860344874710884,0.04208300937884241
creditos_sectorReal,-0.07782800552890233,-0.004901403454576219,0.004911660116576493,-0.026515783825120307,-0.027814825918475214,-0.0741518941135507,-0.03128412276884027,-0.05446432702885215,0.5406767041134566,0.17485003073627725,0.0032709832196863887,0.06750770767697883,0.08147767029663452,-0.0006621774997013106,0.06747641907974238,0.06312030489178459,1.0,-0.04274499248298552,-0.023306295945174495,-0.0393287244341949,0.03633358530928804,0.018438195810648667,-0.0007025488716717329,-0.0038676694304921964,-0.0026613378674642447,0.009414305693006348
promedio_ingresos_datacredito,0.11831166331288431,0.022701337644990865,0.029731248568266585,-0.00441890631144572,0.024089012311505623,0.09215601360606264,0.03938630762522055,0.1425889026759368,0.16099239263105344,0.024367028978213436,-0.004042630134405798,0.21422296147745462,0.2877292785640935,0.014549159316430369,0.22457612553746978,0.003133610332315072,-0.04274499248298552,1.0,0.0398666441064239,0.03047564965483366,0.0009041110331933961,-0.011370189000788265,-0.02016953350952552,-0.02125374721421518,-0.01566744054618979,0.04385726250154004
Pago_atiempo,-0.04062355334300056,-0.0631052286722055,0.05281483711207651,-0.003982198230928023,-0.010040849661427277,-0.011814232923308384,0.9256941104135926,0.06821722659722387,0.008829160493270547,-0.0737365705248107,-0.07345797429808769,0.014363689215621674,0.011473249937057645,0.0026312443877701637,0.021390468493718943,0.021267467525200177,-0.023306295945174495,0.0398666441064239,1.0,0.020250607126427518,0.008821784463409801,-0.0335078010344793,0.026953509261399874,0.0027633941841915376,0.002302470593461907,0.008475823486611304
anio_prestamo,0.06190435279459233,-0.0006395245243451274,0.007099471947084544,0.01014374812390814,0.011463492427495591,0.0750401566623463,0.03848776304052735,-0.003637537184358501,0.005836856359944384,0.010713584020594495,-0.01749710672393099,0.01378010104420541,0.018478409871705223,-0.029132276910709725,0.04149918039469038,-0.009020022506068941,-0.0393287244341949,0.03047564965483366,0.020250607126427518,1.0,-0.6714412184574126,0.025684362755850842,-0.0009245096956034221,0.005297350104771957,0.003873822374695163,0.000403367067110322
mes_prestamo,-0.006869684863061129,0.025756388921258956,-0.040193015936671204,-0.0067888668618276814,0.001589917017171317,0.017366954545093828,-0.0025592830049410245,-0.023258543264658527,-0.009470477451087088,0.0012702470630146642,0.006337693889657188,-0.0076252589844482185,-0.002083337002957594,0.021996023630970942,-0.0407732784675508,0.03893529273611009,0.03633358530928804,0.0009041110331933961,0.008821784463409801,-0.6714412184574126,1.0,-0.002335429031365599,0.005410135681260831,0.010828797887220564,0.0056189076188038175,-0.006922580827087253
